Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
Page  speed,"mobile:65

https://pagespeed.web.dev/analysis/https-www-beta-scasys-dev14-intersmarthosting-in/klfnzckq99?form_factor=mobile

desktop:89

https://pagespeed.web.dev/analysis/https-www-beta-scasys-dev14-intersmarthosting-in/klfnzckq99?form_factor=desktop",1,https://gitlab.com/ManualProjects/php/cms_php_cust_15/scasys/-/issues/1,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-08 06:51:17,2025-05-08 06:51:17,,,,"Dev Test Phase 1,HTML,Performance,Status : New",0,0
Minify js->Some JS files are not minified.,https://jam.dev/c/030a4404-1c58-4232-a51b-5dca0861202c,2,https://gitlab.com/ManualProjects/php/cms_php_cust_15/scasys/-/issues/2,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-08 06:54:52,2025-05-08 06:54:52,,,,"Dev Test Phase 1,HTML,Performance,Status : New",0,0
"Navigation menu->When the active menu is “Blog” and the user hovers over the “Product” menu, the blog arrow overlaps with the product dropdown.",https://jam.dev/c/9b487009-63bb-4980-af3c-37537d420234,3,https://gitlab.com/ManualProjects/php/cms_php_cust_15/scasys/-/issues/3,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-08 07:48:33,2025-05-08 07:48:33,,,,"Dev Test Phase 1,HTML,P2,Status : New,Type : Bug",0,0
Navigation Menu → Services/Product-> The active menu indicator line appears outside the sticky header.,https://jam.dev/c/a113e816-c546-475a-8f2a-588d39628818,4,https://gitlab.com/ManualProjects/php/cms_php_cust_15/scasys/-/issues/4,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-08 07:56:51,2025-05-08 07:56:51,,,,"Dev Test Phase 1,Frontend,HTML,P4,Status : New,Type : Bug",0,0
Footer → Logo Redirection-> The logo in the footer does not have a redirection link configured.,https://jam.dev/c/1de6d92c-11d5-4e68-912a-0b4b5015f6b6,5,https://gitlab.com/ManualProjects/php/cms_php_cust_15/scasys/-/issues/5,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-08 08:01:01,2025-05-08 08:01:01,,,,"Dev Test Phase 1,Frontend,HTML,P2,Status : New,Type : Bug",0,0
"Mac->Home → Case Studies-> Sliders are displayed horizontally, and the text on the sliders appears broken or misaligned.","",6,https://gitlab.com/ManualProjects/php/cms_php_cust_15/scasys/-/issues/6,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-08 08:02:39,2025-05-08 08:02:39,,,,"Dev Test Phase 1,Frontend,HTML,P1,Status : New,Type : Bug",0,0
"Chatbot-> The chatbot overlaps with the scroll-to-top button,",https://jam.dev/c/d24ba4ae-28c6-4a2f-ae4f-0d34d58ea573,7,https://gitlab.com/ManualProjects/php/cms_php_cust_15/scasys/-/issues/7,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-08 08:04:08,2025-05-08 08:04:08,,,,"Dev Test Phase 1,HTML,P3,Status : New,Type : Bug",0,0
Navigation Dropdown Arrows->Dropdowns should open on mouse hover  on arrow mark for improved UX.,https://jam.dev/c/d1076273-b9d9-4dbd-95ea-2007c7f88882,8,https://gitlab.com/ManualProjects/php/cms_php_cust_15/scasys/-/issues/8,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-08 08:06:56,2025-05-08 08:07:13,,,,"Dev Test Phase 1,Frontend,HTML,Status : New,Type : Enhancement",0,0
User mail->Unnecessary white space is visible.,https://jam.dev/c/38af805d-7f38-4bfc-95a1-ebf89cebaae8,9,https://gitlab.com/ManualProjects/php/cms_php_cust_15/scasys/-/issues/9,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-08 08:11:53,2025-05-08 08:11:53,,,,"Dev Test Phase 1,Functional,Status : New,Type : Enhancement",0,0
Form validation Issues,"'-**> please refer new checklist**
1.Name-\> All languages should be accepted

2:Name -\>trailing space need to be trimmed

https://jam.dev/c/0bc8d271-590e-48ad-b045-933077157579

2.Name-\>name with special characters

eg:O'Connor-Smith

3.Phone:number with spaces(trimming is not working)

https://jam.dev/c/2e17eb08-380f-4e7a-9c4e-56807e77be24

4.phone number-While entering (script/SQL injection) then correct the error message

https://jam.dev/c/cbbb099b-0927-47e5-9960-044d5df0acae

https://jam.dev/c/ff3f0cc8-e391-41c1-a603-5d861c58273e

5.phone number:Invalid phone number format (like `++1234567890`) and no error message appears

https://jam.dev/c/b3907121-1a1f-4d0e-b989-cc44e3185674

6:phone number: The phone number field is accepting all zero

https://jam.dev/c/30f07f4d-f73e-4225-9d44-8657db2d313d

7:phone number: spaces between digits in the phone number (e.g., `+123 456 7890`) should be accepted, but currently they're being rejected

8:Message: SQL injection and template injection is possible through the message field; make the input is not being rejected

8:Message: The message field allows multiple tab and newline characters, which should be restricted

https://jam.dev/c/5b555365-4732-4c72-8ada-d1459b3e4baa

https://jam.dev/c/7c72b939-4b18-4b43-a4dc-28540e3d3a3f",10,https://gitlab.com/ManualProjects/php/cms_php_cust_15/scasys/-/issues/10,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-08 09:14:17,2025-05-13 06:24:33,,,,"Dev Test Phase 1,Frontend,Functional,Multi Bugs(Check Description),P1,Status : New,Type : Bug",0,0
