Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
"Admission form >  After form submission,  Hyperlink in Success Message Not Recognizable Before Hovering",https://jam.dev/c/e5081193-24b7-43d5-aa2a-3b85b8351359,10,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/10,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-04-01 06:38:05,2025-05-09 10:55:56,,,,"After Live,HTML,P3,Status : New,Type :  Correction",0,0
Home > Highlights & Events > Navigation arrows > Background Visible Through Arrows When Sliding,https://jam.dev/c/436dcfcd-8a93-4c9c-b2c2-e4b1e9154865,116,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/116,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-04-03 11:13:49,2025-05-09 12:10:21,,,,"After Live,HTML,P4,Status : New,Type :  Correction",0,0
Performance is low,https://jam.dev/c/f64f9731-f634-4aeb-ae88-02d08392a9ee,148,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/148,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 05:29:55,2025-05-09 05:29:55,,,,"After Live,HTML,P1,Performance,Status : New",0,0
Some js files are not minified,![image](/uploads/7d5124e3b7e7bb14409185f80ce77404/image.png){width=815 height=359},149,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/149,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 05:34:48,2025-05-09 05:34:48,,,,"After Live,HTML,P4,Performance,Status : New",0,0
Broken links are found,![image](/uploads/965a40f118035bfa4121aa82951ead47/image.png){width=611 height=330},150,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/150,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 05:38:25,2025-05-09 05:38:25,,,,"After Live,HTML,P2,Status : New,Type : Bug",0,0
Security headers are missing,![image](/uploads/df58acae46c54514f42d586253332385/image.png){width=959 height=402},151,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/151,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 05:49:09,2025-05-09 05:49:09,,,,"After Live,HTML,P2,Security,Status : New",0,0
Images over 300kb,https://www.ciba.co.in/frontend/images/dwn.gif,152,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/152,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 06:43:14,2025-05-09 06:43:14,,,,"After Live,Functional,SEO,Status : New,Type :  Correction",0,0
Images > Missing Alt text,"https://www.ciba.co.in/frontend/images/Email.svg
https://www.ciba.co.in/frontend/images/wrng.png
https://www.ciba.co.in/frontend/images/Phone.svg",153,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/153,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 06:49:59,2025-05-09 12:37:21,,,,"After Live,Functional,P3,SEO,Status : New,Type : Bug",0,0
Meta description missing,"https://www.ciba.co.in/ktu-syllabus
https://www.ciba.co.in/swayam-course
https://www.ciba.co.in/placement
https://www.ciba.co.in/highlights
https://www.ciba.co.in/specilaization/marketing
https://www.ciba.co.in/specilaization/operations
https://www.ciba.co.in/global-exposure
https://www.ciba.co.in/academics
https://www.ciba.co.in/specilaization/systems
https://www.ciba.co.in/grirevance
https://www.ciba.co.in/specilaization/human-resource
https://www.ciba.co.in/leadership
https://www.ciba.co.in/leep
https://www.ciba.co.in/facilities
https://www.ciba.co.in/corporate-relationship
https://www.ciba.co.in/examinations
https://www.ciba.co.in/specilaization/finance",154,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/154,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 06:52:20,2025-05-09 12:37:32,,,,"After Live,Functional,P3,SEO,Status : New,Type : Bug",0,0
Images:Missing size attribute,"https://www.ciba.co.in/frontend/images/lbg.png
https://www.ciba.co.in/storage/1563/s5.webp
https://www.ciba.co.in/storage/1583/s1.webp
https://www.ciba.co.in/frontend/images/bgshape.png
https://www.ciba.co.in/frontend/images/Email.svg
https://www.ciba.co.in/frontend/images/wrng.png
https://www.ciba.co.in/frontend/images/mail.svg
https://www.ciba.co.in/storage/1573/s2.webp
https://www.ciba.co.in/frontend/images/dwn.gif
https://www.ciba.co.in/frontend/images/enqBg.png
https://www.ciba.co.in/frontend/images/rarw.svg
https://www.ciba.co.in/frontend/images/w1.webp
https://www.ciba.co.in/frontend/images/call.svg
https://www.ciba.co.in/frontend/images/events.svg
https://www.ciba.co.in/storage/1666/enq1.webp
https://www.ciba.co.in/storage/1568/s3.webp
https://www.ciba.co.in/frontend/images/play.svg
https://www.ciba.co.in/storage/587/d5.webp
https://www.ciba.co.in/storage/89/shawn.webp
https://www.ciba.co.in/frontend/images/Line.svg
https://www.ciba.co.in/storage/88/indrajit.webp
https://www.ciba.co.in/storage/285/dineshpthampi.webp
https://www.ciba.co.in/frontend/images/Phone.svg
https://www.ciba.co.in/storage/1578/s4.webp
https://www.ciba.co.in/storage/1619/computer-lab.webp
https://www.ciba.co.in/storage/1631/discussion-hall.webp
https://www.ciba.co.in/storage/1625/library.webp
https://www.ciba.co.in/storage/1613/conference-hall.webp
https://www.ciba.co.in/storage/1607/cafetarea.webp
https://www.ciba.co.in/frontend/images/CIBA.png
https://www.ciba.co.in/storage/1637/2.webp
https://www.ciba.co.in/storage/90/benny.webp
https://www.ciba.co.in/storage/1643/discussion-hall.webp
https://www.ciba.co.in/storage/1477/nakul310x310.webp
https://www.ciba.co.in/frontend/images/rarw1.svg
https://www.ciba.co.in/storage/84/lead-1_11zon.webp
https://www.ciba.co.in/storage/83/lead-3.webp
https://www.ciba.co.in/frontend/images/inter.svg
https://www.ciba.co.in/storage/856/recruitment_logo3.webp
https://www.ciba.co.in/storage/1610/2.webp
https://www.ciba.co.in/frontend/images/q1.png
https://www.ciba.co.in/storage/1572/WhatsApp-Image-2024-12-05-at-10.11.29-AM-(3)_11zon.webp
https://www.ciba.co.in/storage/1647/3.webp
https://www.ciba.co.in/storage/855/recruitment_logo4.webp
https://www.ciba.co.in/storage/1435/training_img2.webp
https://www.ciba.co.in/storage/854/recruitment_logo5.webp
https://www.ciba.co.in/storage/1611/3.webp
https://www.ciba.co.in/storage/1577/specialization_img1-min.webp
https://www.ciba.co.in/storage/1503/WhatsApp-Image-2025-05-05-at-12.37.37-PM-(1)-(1).webp
https://www.ciba.co.in/storage/1109/industry_img3.webp
https://www.ciba.co.in/storage/1559/mission_img1.svg
https://www.ciba.co.in/storage/1506/Picture1.webp
https://www.ciba.co.in/frontend/images/call-ic-16x.svg
https://www.ciba.co.in/storage/1108/IMG_8351_11zon.webp
https://www.ciba.co.in/frontend/images/mail-ic-16x.svg
https://www.ciba.co.in/frontend/images/location-ic-16x.svg
https://www.ciba.co.in/storage/998/swayam.webp
https://www.ciba.co.in/storage/1612/4.webp
https://www.ciba.co.in/storage/1103/IMG_8541_11zon.webp
https://www.ciba.co.in/storage/1621/1.webp
https://www.ciba.co.in/storage/1437/training_img4.webp
https://www.ciba.co.in/frontend/images/program_curve.png
https://www.ciba.co.in/storage/986/WhatsApp-Image-2024-12-05-at-10.11.29-AM-(3)_11zon.webp
https://www.ciba.co.in/storage/1627/1.webp
https://www.ciba.co.in/storage/1622/2.webp
https://www.ciba.co.in/storage/1504/3R1A8545-(1).webp
https://www.ciba.co.in/storage/1587/DSC_2462_11zon.webp
https://www.ciba.co.in/frontend/images/message_quote.png
https://www.ciba.co.in/storage/1609/1.webp
https://www.ciba.co.in/storage/1561/mission_img3.svg
https://www.ciba.co.in/storage/1466/IMG_8564.JPG
https://www.ciba.co.in/frontend/images/recruitment_logo1.png
https://www.ciba.co.in/storage/1507/Vice_Principal-Joy_P_T-2_PQkyNvF-(1).webp
https://www.ciba.co.in/storage/1640/2.webp
https://www.ciba.co.in/storage/1623/3.webp
https://www.ciba.co.in/storage/1641/3.webp
https://www.ciba.co.in/frontend/images/message_big_quote.png
https://www.ciba.co.in/storage/1110/industry_img4.webp
https://www.ciba.co.in/storage/1102/IMG_8426_11zon.webp
https://www.ciba.co.in/storage/1106/IMG_8557_11zon.webp
https://www.ciba.co.in/storage/853/recruitment_logo2.webp
https://www.ciba.co.in/storage/1639/1.webp
https://www.ciba.co.in/storage/1642/4.webp
https://www.ciba.co.in/frontend/images/tel-ic-16x.svg
https://www.ciba.co.in/storage/1624/4.webp
https://www.ciba.co.in/storage/1505/WhatsApp-Image-2025-05-05-at-12.33.32-PM-(2).webp
https://www.ciba.co.in/storage/982/DSC_2347_11zon.webp
https://www.ciba.co.in/storage/1634/2.webp
https://www.ciba.co.in/storage/1582/DSC_2462_11zon-(2).webp
https://www.ciba.co.in/storage/1101/WhatsApp-Image-2025-03-18-at-9.15.29-PM_11zon.webp
https://www.ciba.co.in/storage/1629/3.webp
https://www.ciba.co.in/storage/1558/Turning-Ambition-into-success.webp
https://www.ciba.co.in/storage/1635/3.webp
https://www.ciba.co.in/storage/857/recruitment_logo9.webp
https://www.ciba.co.in/storage/1628/2.webp
https://www.ciba.co.in/storage/983/DSC_2327_11zon.webp
https://www.ciba.co.in/storage/1630/4.webp
https://www.ciba.co.in/frontend/images/about_curve.svg
https://www.ciba.co.in/storage/1562/legacy_img_min.webp
https://www.ciba.co.in/storage/1672/lead_img-min.webp
https://www.ciba.co.in/storage/1636/4.webp
https://www.ciba.co.in/storage/1645/1.webp
https://www.ciba.co.in/frontend/images/pdfIcon.svg
https://www.ciba.co.in/storage/1618/4.webp
https://www.ciba.co.in/storage/1560/mission_img2.svg
https://www.ciba.co.in/storage/1671/a1.webp
https://www.ciba.co.in/storage/1646/2.webp
https://www.ciba.co.in/storage/1617/3.webp
https://www.ciba.co.in/storage/1105/IMG_8541_11zon.webp
https://www.ciba.co.in/storage/1567/specialization_img1-min.webp
https://www.ciba.co.in/storage/1615/1.webp
https://www.ciba.co.in/storage/985/DSC_2451_11zon.webp
https://www.ciba.co.in/storage/1616/2.webp
https://www.ciba.co.in/storage/1104/WhatsApp-Image-2025-03-18-at-9.15.29-PM_11zon.webp
https://www.ciba.co.in/storage/1107/IMG_8426_11zon.webp
https://www.ciba.co.in/storage/984/DSC_2462_11zon.webp
https://www.ciba.co.in/storage/1633/1.webp",155,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/155,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 06:53:23,2025-05-09 12:37:46,,,,"After Live,Functional,P3,SEO,Status : New,Type : Bug",0,0
